Date_ID,Day,Month,Year,id,name,sex,age,height,weight,team,noc,games,season,city,sport,event,medal
DT00002,12,8,2016,58048,Nathan Katz,M,21.0,175.0,66.0,Australia,AUS,2016 Summer,Summer,Rio de Janeiro,Judo,Judo Men's Half-Lightweight,
DT00007,19,8,2016,58098,Navjot Kaur,F,21.0,167.0,53.0,India,IND,2016 Summer,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,
DT00004,14,8,2016,58108,Fabian Raphael Kauter,M,30.0,181.0,83.0,Switzerland,SUI,2016 Summer,Summer,Rio de Janeiro,Fencing,"Fencing Men's epee, Individual",
DT00004,14,8,2016,58108,Fabian Raphael Kauter,M,30.0,181.0,83.0,Switzerland,SUI,2016 Summer,Summer,Rio de Janeiro,Fencing,"Fencing Men's epee, Team",
DT00008,20,8,2016,58113,Peter Kauzer,M,32.0,177.0,70.0,Slovenia,SLO,2016 Summer,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Silver
DT00007,19,8,2016,58121,Fergus Kavanagh,M,31.0,182.0,75.0,Australia,AUS,2016 Summer,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,
DT00007,19,8,2016,58184,Motomi Kawamura,F,20.0,157.0,54.0,Japan,JPN,2016 Summer,Summer,Rio de Janeiro,Hockey,Hockey Women's Hockey,
DT00002,12,8,2016,58187,Kaori Kawanaka,F,25.0,159.0,51.0,Japan,JPN,2016 Summer,Summer,Rio de Janeiro,Archery,Archery Women's Individual,
DT00002,12,8,2016,58187,Kaori Kawanaka,F,25.0,159.0,51.0,Japan,JPN,2016 Summer,Summer,Rio de Janeiro,Archery,Archery Women's Team,
DT00003,13,8,2016,58220,Radosaw Kawcki,M,24.0,189.0,76.0,Poland,POL,2016 Summer,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Backstroke,
DT00003,13,8,2016,58220,Radosaw Kawcki,M,24.0,189.0,76.0,Poland,POL,2016 Summer,Summer,Rio de Janeiro,Swimming,Swimming Men's 200 metres Backstroke,
DT00003,13,8,2016,58220,Radosaw Kawcki,M,24.0,189.0,76.0,Poland,POL,2016 Summer,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,
DT00001,11,8,2016,58237,Humphrey Kayange,M,34.0,193.0,106.0,Kenya,KEN,2016 Summer,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,
DT00008,20,8,2016,58242,"Joseph ""Joe"" Kayes",M,25.0,198.0,125.0,Australia,AUS,2016 Summer,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,
DT00004,14,8,2016,58249,Martin Kaymer,M,31.0,184.0,74.0,Germany,GER,2016 Summer,Summer,Rio de Janeiro,Golf,Golf Men's Individual,
DT00006,18,8,2016,58250,Alican Kaynar,M,27.0,191.0,98.0,Turkey,TUR,2016 Summer,Summer,Rio de Janeiro,Sailing,Sailing Men's One Person Heavyweight Dinghy,
DT00008,20,8,2016,58303,Kenta Kazuno,M,30.0,171.0,68.0,Japan,JPN,2016 Summer,Summer,Rio de Janeiro,Badminton,Badminton Mixed Doubles,
DT00008,20,8,2016,58319,Bryan Keane,M,35.0,175.0,65.0,Ireland,IRL,2016 Summer,Summer,Rio de Janeiro,Triathlon,Triathlon Men's Olympic Distance,
